SeniorCitizen,PropertyValue,tenure,PhoneService,MonthlyCharges,TotalCharges
0,2,1,No,29.85,29.85
0,3,34,Yes,56.95,1889.5
0,4,2,Yes,53.85,108.15
0,5,45,No,42.3,1840.75
0,6,2,Yes,70.7,151.65
0,7,8,Yes,99.65,820.5
0,8,22,Yes,89.1,1949.4
0,9,10,No,29.75,301.9
0,10,28,Yes,104.8,3046.05
0,11,62,Yes,56.15,3487.95
0,12,13,Yes,49.95,587.45
0,13,16,Yes,18.95,326.8
0,14,58,Yes,100.35,5681.1
0,15,49,Yes,103.7,5036.3
0,16,25,Yes,105.5,2686.05
0,17,69,Yes,113.25,7895.15
0,18,52,Yes,20.65,1022.95
0,19,71,Yes,106.7,7382.25
0,20,10,Yes,55.2,528.35
0,21,21,Yes,90.05,1862.9
1,22,1,No,39.65,39.65
0,23,12,Yes,19.8,202.25
0,24,1,Yes,20.15,20.15
0,25,58,Yes,59.9,3505.1
0,26,49,Yes,59.6,2970.3
0,27,30,Yes,55.3,1530.6
0,28,47,Yes,99.35,4749.15
0,29,1,No,30.2,30.2
0,30,72,Yes,90.25,6369.45
0,31,17,Yes,64.7,1093.1
1,32,71,Yes,96.35,6766.95
1,33,2,Yes,95.5,181.65
0,34,27,Yes,66.15,1874.45
0,35,1,Yes,20.2,20.2
1,36,1,Yes,45.25,45.25
0,37,72,Yes,99.9,7251.7
0,38,5,Yes,69.7,316.9
0,39,46,Yes,74.8,3548.3
0,40,34,Yes,106.35,3549.25
0,41,11,Yes,97.85,1105.4
0,42,10,Yes,49.55,475.7
0,43,70,Yes,69.2,4872.35
0,44,17,Yes,20.75,418.25
0,45,63,Yes,79.85,4861.45
0,46,13,Yes,76.2,981.45
0,47,49,Yes,84.5,3906.7
0,48,2,Yes,49.25,97
0,49,2,Yes,80.65,144.15
0,50,52,Yes,79.75,4217.8
0,51,69,Yes,64.15,4254.1
1,52,43,Yes,90.25,3838.75
0,53,15,Yes,99.1,1426.4
1,54,25,Yes,69.5,1752.65
1,55,8,Yes,80.65,633.3
1,56,60,Yes,74.85,4456.35
1,57,18,Yes,95.45,1752.55
0,58,63,Yes,99.65,6311.2
1,59,66,Yes,108.45,7076.35
0,60,34,Yes,24.95,894.3
0,61,72,Yes,107.5,7853.7
0,62,47,Yes,100.5,4707.1
0,63,60,Yes,89.9,5450.7
0,64,72,No,42.1,2962
0,65,18,Yes,54.4,957.1
0,66,9,Yes,94.4,857.25
0,67,3,Yes,75.3,244.1
0,68,47,Yes,78.9,3650.35
0,69,31,Yes,79.2,2497.2
0,70,50,Yes,20.15,930.9
0,71,10,Yes,79.85,887.35
0,72,1,Yes,49.05,49.05
0,73,52,Yes,20.4,1090.65
1,74,64,Yes,111.6,7099
0,75,62,Yes,24.25,1424.6
0,76,3,Yes,64.5,177.4
1,77,56,Yes,110.5,6139.5
0,78,46,Yes,55.65,2688.85
0,79,8,Yes,54.65,482.25
1,80,30,Yes,74.75,2111.3
0,81,45,Yes,25.9,1216.6
0,82,1,Yes,79.35,79.35
0,83,11,No,50.55,565.35
0,84,7,Yes,75.15,496.9
0,85,42,Yes,103.8,4327.5
0,86,49,Yes,20.15,973.35
0,87,9,Yes,99.3,918.75
0,88,35,Yes,62.15,2215.45
0,89,48,Yes,20.65,1057
0,90,46,Yes,19.95,927.1
0,91,29,No,33.75,1009.25
0,92,30,Yes,82.05,2570.2
1,93,1,Yes,74.7,74.7
0,94,66,Yes,84,5714.25
0,95,65,Yes,111.05,7107
0,96,72,Yes,100.9,7459.05
0,97,12,Yes,78.95,927.35
0,98,71,Yes,66.85,4748.7
0,99,5,Yes,21.05,113.85
0,100,52,Yes,21,1107.2
1,101,25,Yes,98.5,2514.5
0,102,1,Yes,20.2,20.2
0,103,1,Yes,19.45,19.45
0,104,38,Yes,95,3605.6
1,105,66,No,45.55,3027.25
0,106,68,Yes,110,7611.85
0,107,5,No,24.3,100.2
0,108,72,Yes,104.15,7303.05
0,109,32,No,30.15,927.65
0,110,43,Yes,94.35,3921.3
0,111,72,Yes,19.4,1363.25
0,112,55,Yes,96.75,5238.9
0,113,52,Yes,57.95,3042.25
0,114,43,Yes,91.65,3954.1
1,115,37,Yes,76.5,2868.15
0,116,64,No,54.6,3423.5
0,117,3,Yes,89.85,248.4
0,118,36,No,31.05,1126.35
0,119,10,Yes,100.25,1064.65
0,120,41,Yes,20.65,835.15
0,121,27,Yes,85.2,2151.6
0,122,56,Yes,99.8,5515.45
0,123,6,Yes,20.7,112.75
0,124,3,Yes,74.4,229.55
0,125,7,Yes,50.7,350.35
0,126,4,Yes,20.85,62.9
0,127,33,Yes,88.95,3027.65
1,128,27,Yes,78.05,2135.5
0,129,72,Yes,23.55,1723.95
0,130,1,Yes,19.75,19.75
1,131,71,No,56.45,3985.35
0,132,13,Yes,85.95,1215.65
0,133,25,No,58.6,1502.65
0,134,67,Yes,50.55,3260.1
0,135,1,No,35.45,35.45
0,136,2,Yes,44.35,81.25
0,137,43,Yes,25.7,1188.2
0,138,23,Yes,75,1778.5
0,139,64,Yes,20.2,1277.75
0,140,57,Yes,19.6,1170.55
1,141,1,Yes,70.45,70.45
1,142,72,Yes,88.05,6425.65
0,143,8,Yes,71.15,563.65
0,144,61,Yes,101.05,5971.25
0,145,64,Yes,84.3,5289.05
1,146,71,Yes,23.95,1756.2
0,147,65,Yes,99.05,6416.7
0,148,3,Yes,19.6,61.35
0,149,1,Yes,45.65,45.65
0,150,30,Yes,64.5,1929.95
0,151,15,Yes,69.5,1071.4
0,152,8,Yes,68.55,564.35
0,153,7,Yes,95,655.5
0,154,70,Yes,108.15,7930.55
0,155,62,Yes,86.1,5215.25
0,156,6,Yes,19.7,113.5
0,157,14,Yes,80.9,1152.8
0,158,22,Yes,84.15,1821.95
0,159,22,Yes,20.15,419.9
0,160,16,Yes,64.25,1024
0,161,10,Yes,25.7,251.6
0,162,13,Yes,56,764.55
0,163,20,Yes,82.4,1592.35
0,164,2,Yes,69.7,135.2
0,165,53,Yes,73.9,3958.25
0,166,11,Yes,20.6,233.9
0,167,69,Yes,19.9,1363.45
0,168,4,Yes,70.9,273
0,169,72,Yes,89.05,6254.45
1,170,58,No,45.3,2651.2
0,171,16,Yes,20.4,321.4
0,172,43,Yes,84.25,3539.25
0,173,2,Yes,104.4,242.8
0,174,14,Yes,81.95,1181.75
0,175,53,Yes,94.85,5000.2
0,176,32,Yes,20.55,654.55
0,177,34,Yes,24.7,780.2
1,178,15,Yes,74.45,1145.7
1,179,7,Yes,76.45,503.6
0,180,15,Yes,105.35,1559.25
0,181,61,Yes,20.55,1252
0,182,1,No,29.95,29.95
0,183,1,Yes,45.3,45.3
0,184,8,Yes,84.5,662.65
0,185,33,Yes,74.75,2453.3
0,186,13,Yes,79.25,1111.65
0,187,1,No,24.8,24.8
0,188,20,Yes,51.8,1023.85
0,189,3,No,30.4,82.15
0,190,13,Yes,19.65,244.8
0,191,40,Yes,56.6,2379.1
0,192,43,Yes,71.9,3173.35
0,193,6,Yes,91,531
0,194,69,Yes,19.75,1375.4
0,195,72,Yes,109.7,8129.3
0,196,59,Yes,19.3,1192.7
0,197,20,Yes,96.55,1901.65
0,198,24,Yes,24.1,587.4
0,199,59,Yes,111.35,6519.75
0,200,72,Yes,112.25,8041.65
0,201,1,Yes,20.75,20.75
0,202,27,Yes,101.9,2681.15
0,203,14,Yes,80.05,1112.3
0,204,71,Yes,105.55,7405.5
0,205,13,Yes,78.3,1033.95
0,206,44,Yes,68.85,2958.95
0,207,33,Yes,79.95,2684.85
0,208,72,No,55.45,4179.2
0,209,1,Yes,79.9,79.9
0,210,19,Yes,106.6,1934.45
0,211,64,Yes,102.45,6654.1
0,212,2,Yes,46,84.5
0,213,1,No,25.25,25.25
0,214,61,Yes,19.75,1124.2
0,215,29,Yes,20,540.05
1,216,23,Yes,86.8,1975.85
0,217,57,No,58.75,3437.45
0,218,72,No,45.25,3139.8
0,219,66,No,56.6,3789.2
0,220,65,Yes,84.2,5324.5
0,221,8,Yes,80,624.6
0,222,4,Yes,70.15,268.35
0,223,71,Yes,24.75,1836.9
0,224,1,Yes,20.2,20.2
0,225,4,Yes,50.05,179.35
0,226,12,Yes,19.35,219.35
0,227,24,No,50.6,1288.75
0,228,31,Yes,81.15,2545.75
0,229,1,Yes,55.2,55.2
0,230,30,Yes,89.9,2723.15
0,231,47,Yes,85.3,4107.25
0,232,54,Yes,108,5760.65
0,233,50,Yes,93.5,4747.5
0,234,1,Yes,84.6,84.6
0,235,72,Yes,20.25,1566.9
0,236,29,Yes,25.15,702
0,237,2,Yes,54.4,114.1
0,238,10,No,29.6,299.05
0,239,18,Yes,73.15,1305.95
1,240,11,Yes,95,1120.3
0,241,16,Yes,19.75,284.35
0,242,72,Yes,86.6,6350.5
0,243,72,Yes,109.2,7878.3
0,244,41,Yes,74.7,3187.65
1,245,65,Yes,94.4,6126.15
1,246,13,Yes,54.8,731.3
1,247,4,Yes,75.35,273.4
0,248,41,Yes,65,2531.8
1,249,15,Yes,74.4,1074.3
0,250,1,Yes,48.55,48.55
0,251,42,Yes,99,4298.45
0,252,51,Yes,93.5,4619.55
0,253,2,Yes,70.4,147.15
